,height,weight,day,lastDayEmptied,trashDayTarget
212,40,37,mon,sun,tues
213,41,39,mon,sun,tues
214,43,41,mon,sun,tues
215,44,45,mon,sun,tues
216,48,46,mon,sun,tues
217,51,49,tues,sun,tues
218,54,53,tues,sun,tues
219,57,54,tues,sun,tues
220,61,57,tues,sun,tues
221,65,60,tues,sun,tues
222,68,63,tues,sun,tues
223,70,67,tues,sun,tues
224,74,71,tues,sun,tues
225,75,72,tues,sun,tues
226,79,76,tues,sun,tues
227,82,78,tues,sun,tues
228,0,0,tues,tues,wed
229,1,3,tues,tues,wed
230,3,5,tues,tues,wed
231,5,8,tues,tues,wed
232,7,10,tues,tues,wed
233,8,14,tues,tues,wed
234,10,18,tues,tues,wed
235,12,20,tues,tues,wed
236,14,24,tues,tues,wed
237,16,27,tues,tues,wed
238,18,28,tues,tues,wed
239,21,30,tues,tues,wed
240,25,31,tues,tues,wed
241,28,35,tues,tues,wed
242,29,39,tues,tues,wed
243,33,41,tues,tues,wed
244,37,45,wed,tues,wed
245,39,46,wed,tues,wed
246,43,48,wed,tues,wed
247,45,51,wed,tues,wed
248,46,55,wed,tues,wed
249,49,56,wed,tues,wed
250,50,58,wed,tues,wed
251,51,60,wed,tues,wed
252,55,63,wed,tues,wed
253,56,67,wed,tues,wed
254,58,71,wed,tues,wed
255,59,72,wed,tues,wed
256,63,73,wed,tues,wed
257,66,74,wed,tues,wed
258,70,77,wed,tues,wed
259,74,81,wed,tues,wed
260,0,0,wed,wed,sun
261,3,2,wed,wed,sun
262,7,3,wed,wed,sun
263,9,6,thur,wed,sun
264,11,9,thur,wed,sun
265,14,13,thur,wed,sun
266,18,16,thur,wed,sun
267,21,18,thur,wed,sun
268,23,19,thur,wed,sun
269,25,22,thur,wed,sun
270,28,26,thur,wed,sun
271,31,27,thur,wed,sun
272,35,30,thur,wed,sun
273,37,31,thur,wed,sun
274,38,33,thur,wed,sun
275,39,37,thur,wed,sun
276,41,40,thur,wed,sun
277,43,42,thur,wed,sun
278,47,43,thur,wed,sun
279,51,45,thur,wed,sun
280,52,49,thur,wed,sun
281,56,50,thur,wed,sun
282,57,54,fri,wed,sun
283,58,57,fri,wed,sun
284,59,59,fri,wed,sun
285,63,60,fri,wed,sun
286,64,63,fri,wed,sun
287,67,66,fri,wed,sun
288,71,68,fri,wed,sun
289,72,72,fri,wed,sun
290,75,75,sun,wed,sun
291,76,76,sun,wed,sun
292,77,79,sun,wed,sun
293,81,83,sun,wed,sun
294,0,0,sun,sun,tues
295,3,4,sun,sun,tues
296,5,8,sun,sun,tues
297,8,11,sun,sun,tues
298,10,13,sun,sun,tues
299,14,14,sun,sun,tues
300,16,17,sun,sun,tues
301,17,21,sun,sun,tues
302,21,23,mon,sun,tues
303,23,24,mon,sun,tues
304,26,26,mon,sun,tues
305,27,29,mon,sun,tues
306,28,33,mon,sun,tues
307,32,35,mon,sun,tues
308,36,38,mon,sun,tues
309,40,41,mon,sun,tues
310,42,43,mon,sun,tues
311,46,46,mon,sun,tues
312,49,50,mon,sun,tues
313,53,52,mon,sun,tues
314,55,53,mon,sun,tues
315,56,54,mon,sun,tues
316,58,58,mon,sun,tues
317,59,62,mon,sun,tues
318,63,65,mon,sun,tues
319,66,69,tues,sun,tues
320,68,70,tues,sun,tues
321,71,72,tues,sun,tues
322,72,75,tues,sun,tues
323,74,79,tues,sun,tues
324,78,82,tues,sun,tues
325,0,0,tues,tues,thur
326,3,2,tues,tues,thur
327,4,3,tues,tues,thur
328,5,5,tues,tues,thur
329,6,8,tues,tues,thur
330,10,10,tues,tues,thur
331,13,14,tues,tues,thur
332,14,17,tues,tues,thur
333,15,21,tues,tues,thur
334,18,23,tues,tues,thur
335,20,27,tues,tues,thur
336,22,28,tues,tues,thur
337,24,31,tues,tues,thur
338,26,34,tues,tues,thur
339,29,35,tues,tues,thur
340,32,38,tues,tues,thur
341,33,39,tues,tues,thur
342,37,43,tues,tues,thur
343,41,45,tues,tues,thur
344,45,48,tues,tues,thur
345,48,49,tues,tues,thur
346,50,50,tues,tues,thur
347,51,54,wed,tues,thur
348,53,55,wed,tues,thur
349,54,59,wed,tues,thur
350,57,61,wed,tues,thur
351,58,62,wed,tues,thur
352,60,66,wed,tues,thur
353,63,70,wed,tues,thur
354,64,74,thur,tues,thur
355,68,78,thur,tues,thur
356,69,80,thur,tues,thur
357,0,0,thur,thur,sun
358,2,1,thur,thur,sun
359,6,5,thur,thur,sun
360,10,7,fri,thur,sun
361,12,8,fri,thur,sun
362,13,10,fri,thur,sun
363,17,12,fri,thur,sun
364,18,15,fri,thur,sun
365,22,16,fri,thur,sun
366,24,17,fri,thur,sun
367,28,19,fri,thur,sun
368,31,23,fri,thur,sun
369,34,24,fri,thur,sun
370,38,26,fri,thur,sun
371,42,28,fri,thur,sun
372,44,32,fri,thur,sun
373,48,34,fri,thur,sun
374,51,37,fri,thur,sun
375,55,39,sun,thur,sun
376,59,41,sun,thur,sun
377,61,44,sun,thur,sun
378,64,47,sun,thur,sun
379,68,50,sun,thur,sun
380,70,52,sun,thur,sun
381,73,54,sun,thur,sun
382,74,57,sun,thur,sun
383,76,58,sun,thur,sun
384,79,60,sun,thur,sun
385,83,62,sun,thur,sun
386,0,0,sun,sun,wed
387,3,3,sun,sun,wed
388,5,7,sun,sun,wed
389,7,10,sun,sun,wed
390,11,12,sun,sun,wed
391,13,16,sun,sun,wed
392,16,17,mon,sun,wed
393,19,19,mon,sun,wed
394,20,23,mon,sun,wed
395,24,26,mon,sun,wed
396,25,27,mon,sun,wed
397,29,28,mon,sun,wed
398,33,29,mon,sun,wed
399,34,32,tues,sun,wed
400,38,33,tues,sun,wed
401,40,36,wed,sun,wed
402,41,39,wed,sun,wed
403,45,42,wed,sun,wed
404,48,43,wed,sun,wed
405,52,44,wed,sun,wed
406,55,48,wed,sun,wed
407,59,49,wed,sun,wed
408,61,53,wed,sun,wed
409,63,55,wed,sun,wed
410,66,58,wed,sun,wed
411,68,62,wed,sun,wed
412,71,64,wed,sun,wed
413,75,66,wed,sun,wed
414,77,70,wed,sun,wed
415,81,71,wed,sun,wed
416,0,0,wed,wed,fri
417,1,1,wed,wed,fri
418,4,5,wed,wed,fri
419,8,6,wed,wed,fri
420,10,9,wed,wed,fri
421,13,10,wed,wed,fri
422,16,11,wed,wed,fri
423,19,15,wed,wed,fri
424,23,16,wed,wed,fri
425,26,19,thur,wed,fri
426,29,22,thur,wed,fri
427,32,23,thur,wed,fri
428,35,27,thur,wed,fri
429,39,31,thur,wed,fri
430,41,33,thur,wed,fri
431,42,37,thur,wed,fri
432,46,38,thur,wed,fri
433,49,41,thur,wed,fri
434,53,42,fri,wed,fri
435,54,45,fri,wed,fri
436,57,46,fri,wed,fri
437,58,49,fri,wed,fri
438,59,53,fri,wed,fri
439,62,55,fri,wed,fri
440,66,56,fri,wed,fri
441,67,59,fri,wed,fri
442,70,61,fri,wed,fri
443,72,62,fri,wed,fri
444,75,65,fri,wed,fri
445,76,67,fri,wed,fri
446,77,69,fri,wed,fri
447,78,71,fri,wed,fri
448,82,73,fri,wed,fri
449,0,0,fri,fri,tues
450,2,2,fri,fri,tues
451,5,5,fri,fri,tues
452,7,7,fri,fri,tues
453,8,9,fri,fri,tues
454,12,10,fri,fri,tues
455,13,13,fri,fri,tues
456,16,14,fri,fri,tues
457,20,16,fri,fri,tues
458,23,20,sun,fri,tues
459,25,21,sun,fri,tues
460,27,22,sun,fri,tues
461,30,25,sun,fri,tues
462,33,27,sun,fri,tues
463,37,31,sun,fri,tues
464,39,35,sun,fri,tues
465,42,36,sun,fri,tues
466,43,37,mon,fri,tues
467,46,40,mon,fri,tues
468,47,41,mon,fri,tues
469,49,45,mon,fri,tues
470,51,48,mon,fri,tues
471,53,52,mon,fri,tues
472,57,56,mon,fri,tues
473,60,58,mon,fri,tues
474,62,61,mon,fri,tues
475,63,64,mon,fri,tues
476,65,68,mon,fri,tues
477,66,70,mon,fri,tues
478,70,71,mon,fri,tues
479,71,75,mon,fri,tues
480,73,79,mon,fri,tues
481,77,83,mon,fri,tues
482,0,0,tues,tues,thur
483,4,2,tues,tues,thur
484,5,4,tues,tues,thur
485,7,6,tues,tues,thur
486,11,8,tues,tues,thur
487,12,12,tues,tues,thur
488,13,14,tues,tues,thur
489,14,18,tues,tues,thur
490,16,19,tues,tues,thur
491,20,21,tues,tues,thur
492,22,22,tues,tues,thur
493,23,23,tues,tues,thur
494,25,27,tues,tues,thur
495,28,29,tues,tues,thur
496,29,31,tues,tues,thur
497,33,33,tues,tues,thur
498,37,34,tues,tues,thur
499,39,37,tues,tues,thur
500,42,40,tues,tues,thur
501,44,42,wed,tues,thur
502,46,43,wed,tues,thur
503,50,47,wed,tues,thur
504,53,48,wed,tues,thur
505,56,49,wed,tues,thur
506,58,50,wed,tues,thur
507,60,54,wed,tues,thur
508,64,56,wed,tues,thur
509,67,58,wed,tues,thur
510,70,61,thur,tues,thur
511,74,64,thur,tues,thur
512,76,67,thur,tues,thur
513,79,68,thur,tues,thur
514,81,69,thur,tues,thur
515,0,0,thur,thur,sun
516,3,3,thur,thur,sun
517,6,6,thur,thur,sun
518,8,7,thur,thur,sun
519,11,10,thur,thur,sun
520,12,12,thur,thur,sun
521,13,15,thur,thur,sun
522,15,19,thur,thur,sun
523,17,22,thur,thur,sun
524,19,25,thur,thur,sun
525,22,29,thur,thur,sun
526,23,32,thur,thur,sun
527,26,33,thur,thur,sun
528,28,37,thur,thur,sun
529,31,40,thur,thur,sun
530,35,41,thur,thur,sun
531,37,43,fri,thur,sun
532,39,45,fri,thur,sun
533,40,46,fri,thur,sun
534,43,48,fri,thur,sun
535,46,52,fri,thur,sun
536,49,53,fri,thur,sun
537,50,54,fri,thur,sun
538,53,56,fri,thur,sun
539,56,58,fri,thur,sun
540,58,61,fri,thur,sun
541,61,62,fri,thur,sun
542,62,66,fri,thur,sun
543,64,70,fri,thur,sun
544,68,71,fri,thur,sun
545,69,73,fri,thur,sun
546,70,76,fri,thur,sun
547,73,80,fri,thur,sun
548,0,0,sun,sun,tues
549,3,2,sun,sun,tues
550,4,6,sun,sun,tues
551,5,9,sun,sun,tues
552,7,11,sun,sun,tues
553,8,12,sun,sun,tues
554,10,14,sun,sun,tues
555,13,16,mon,sun,tues
556,16,17,mon,sun,tues
557,18,21,mon,sun,tues
558,19,23,mon,sun,tues
559,21,24,mon,sun,tues
560,24,28,mon,sun,tues
561,28,30,mon,sun,tues
562,30,32,mon,sun,tues
563,33,36,mon,sun,tues
564,37,39,mon,sun,tues
565,40,43,mon,sun,tues
566,41,47,mon,sun,tues
567,44,48,mon,sun,tues
568,48,51,mon,sun,tues
569,52,53,mon,sun,tues
570,56,54,tues,sun,tues
571,57,58,tues,sun,tues
572,60,59,tues,sun,tues
573,62,60,tues,sun,tues
574,64,64,tues,sun,tues
575,67,68,tues,sun,tues
576,68,69,tues,sun,tues
577,72,71,tues,sun,tues
578,74,73,tues,sun,tues
579,75,77,tues,sun,tues
580,77,81,tues,sun,tues
581,0,0,tues,tues,fri
582,3,2,tues,tues,fri
583,6,5,tues,tues,fri
584,10,6,tues,tues,fri
585,13,10,tues,tues,fri
586,16,13,tues,tues,fri
587,18,17,tues,tues,fri
588,21,18,wed,tues,fri
589,22,19,wed,tues,fri
590,26,22,wed,tues,fri
591,27,23,wed,tues,fri
592,30,26,thur,tues,fri
593,33,29,thur,tues,fri
594,35,30,thur,tues,fri
595,39,31,thur,tues,fri
596,41,34,thur,tues,fri
597,45,38,thur,tues,fri
598,49,39,thur,tues,fri
599,50,40,thur,tues,fri
600,53,42,thur,tues,fri
601,56,44,thur,tues,fri
602,60,48,thur,tues,fri
603,63,52,thur,tues,fri
604,67,55,fri,tues,fri
605,68,57,fri,tues,fri
606,72,59,fri,tues,fri
607,73,62,fri,tues,fri
608,75,64,fri,tues,fri
609,79,67,fri,tues,fri
610,80,69,fri,tues,fri
611,0,0,fri,fri,wed
612,4,3,sun,fri,wed
613,7,5,sun,fri,wed
614,8,7,sun,fri,wed
615,11,11,sun,fri,wed
616,15,14,sun,fri,wed
617,16,17,sun,fri,wed
618,19,19,sun,fri,wed
619,23,22,sun,fri,wed
620,25,25,sun,fri,wed
621,28,29,sun,fri,wed
622,31,30,sun,fri,wed
623,33,33,sun,fri,wed
624,34,37,sun,fri,wed
625,37,40,sun,fri,wed
626,41,44,sun,fri,wed
627,43,46,sun,fri,wed
628,44,49,sun,fri,wed
629,47,50,sun,fri,wed
630,50,53,sun,fri,wed
631,53,55,mon,fri,wed
632,56,57,mon,fri,wed
633,59,58,mon,fri,wed
634,60,62,mon,fri,wed
635,62,66,tues,fri,wed
636,64,67,tues,fri,wed
637,66,71,tues,fri,wed
638,67,73,tues,fri,wed
639,71,76,tues,fri,wed
640,73,78,tues,fri,wed
641,74,82,wed,fri,wed
642,0,0,wed,wed,thur
643,1,4,wed,wed,thur
644,4,6,wed,wed,thur
645,8,10,wed,wed,thur
646,9,14,wed,wed,thur
647,11,15,wed,wed,thur
648,13,17,wed,wed,thur
649,17,21,wed,wed,thur
650,21,22,wed,wed,thur
651,22,24,wed,wed,thur
652,26,26,wed,wed,thur
653,27,30,wed,wed,thur
654,28,32,wed,wed,thur
655,32,35,wed,wed,thur
656,34,38,wed,wed,thur
657,35,39,wed,wed,thur
658,38,41,wed,wed,thur
659,40,45,wed,wed,thur
660,41,49,wed,wed,thur
661,42,53,wed,wed,thur
662,46,55,wed,wed,thur
663,49,56,wed,wed,thur
664,50,60,wed,wed,thur
665,53,64,wed,wed,thur
666,54,68,wed,wed,thur
667,56,70,wed,wed,thur
668,59,71,wed,wed,thur
669,61,73,thur,wed,thur
670,65,76,thur,wed,thur
671,66,79,thur,wed,thur
672,70,81,thur,wed,thur
673,0,0,thur,thur,fri
674,2,4,thur,thur,fri
675,5,6,thur,thur,fri
676,7,8,thur,thur,fri
677,11,12,thur,thur,fri
678,14,14,thur,thur,fri
679,17,18,thur,thur,fri
680,21,19,thur,thur,fri
681,25,21,thur,thur,fri
682,29,25,thur,thur,fri
683,30,27,thur,thur,fri
684,31,30,fri,thur,fri
685,32,32,fri,thur,fri
686,34,34,fri,thur,fri
687,35,37,fri,thur,fri
688,39,40,fri,thur,fri
689,40,41,fri,thur,fri
690,43,43,fri,thur,fri
691,45,47,fri,thur,fri
692,46,50,fri,thur,fri
693,49,51,fri,thur,fri
694,53,54,fri,thur,fri
695,56,58,fri,thur,fri
696,59,62,fri,thur,fri
697,63,65,fri,thur,fri
698,64,68,fri,thur,fri
699,66,72,fri,thur,fri
700,67,76,fri,thur,fri
701,68,80,fri,thur,fri
702,0,0,fri,fri,sun
703,2,4,fri,fri,sun
704,5,5,fri,fri,sun
705,7,9,fri,fri,sun
706,9,13,fri,fri,sun
707,13,17,fri,fri,sun
708,15,19,fri,fri,sun
709,18,21,fri,fri,sun
710,22,24,fri,fri,sun
711,25,27,sun,fri,sun
712,29,31,sun,fri,sun
713,32,34,sun,fri,sun
714,33,37,sun,fri,sun
715,34,40,sun,fri,sun
716,37,42,sun,fri,sun
717,40,43,sun,fri,sun
718,43,47,sun,fri,sun
719,45,48,sun,fri,sun
720,48,51,sun,fri,sun
721,50,54,sun,fri,sun
722,54,55,sun,fri,sun
723,57,59,sun,fri,sun
724,61,63,sun,fri,sun
725,62,65,sun,fri,sun
726,63,67,sun,fri,sun
727,66,69,sun,fri,sun
728,68,73,sun,fri,sun
729,72,77,sun,fri,sun
730,74,81,sun,fri,sun
731,0,0,sun,sun,tues
732,1,2,sun,sun,tues
733,5,5,sun,sun,tues
734,7,7,sun,sun,tues
735,8,10,sun,sun,tues
736,9,11,sun,sun,tues
737,11,13,mon,sun,tues
738,14,17,mon,sun,tues
739,15,20,mon,sun,tues
740,19,24,mon,sun,tues
741,21,26,mon,sun,tues
742,24,28,mon,sun,tues
743,27,32,mon,sun,tues
744,31,35,mon,sun,tues
745,33,39,mon,sun,tues
746,37,41,mon,sun,tues
747,39,45,mon,sun,tues
748,43,47,mon,sun,tues
749,47,50,mon,sun,tues
750,50,52,mon,sun,tues
751,52,53,mon,sun,tues
752,54,55,mon,sun,tues
753,58,56,mon,sun,tues
754,59,60,mon,sun,tues
755,61,61,mon,sun,tues
756,63,64,mon,sun,tues
757,65,65,mon,sun,tues
758,67,68,mon,sun,tues
759,68,72,mon,sun,tues
760,72,74,mon,sun,tues
761,74,78,mon,sun,tues
762,78,81,tues,sun,tues
763,0,0,tues,tues,tues
764,4,1,tues,tues,tues
765,5,5,tues,tues,tues
766,9,9,tues,tues,tues
767,12,13,tues,tues,tues
768,15,15,tues,tues,tues
769,17,19,tues,tues,tues
770,19,22,tues,tues,tues
771,22,25,tues,tues,tues
772,25,29,tues,tues,tues
773,26,32,tues,tues,tues
774,27,36,tues,tues,tues
775,30,40,tues,tues,tues
776,31,42,tues,tues,tues
777,33,46,tues,tues,tues
778,37,49,tues,tues,tues
779,39,51,tues,tues,tues
780,40,53,tues,tues,tues
781,41,54,tues,tues,tues
782,44,56,tues,tues,tues
783,45,60,tues,tues,tues
784,48,61,tues,tues,tues
785,49,63,tues,tues,tues
786,53,67,tues,tues,tues
787,54,71,tues,tues,tues
788,55,74,tues,tues,tues
789,56,78,tues,tues,tues
790,58,82,tues,tues,tues
791,0,0,tues,tues,fri
792,3,4,wed,tues,fri
793,5,8,wed,tues,fri
794,8,12,wed,tues,fri
795,9,13,wed,tues,fri
796,12,15,wed,tues,fri
797,15,17,wed,tues,fri
798,17,18,wed,tues,fri
799,18,21,wed,tues,fri
800,20,25,wed,tues,fri
801,24,27,wed,tues,fri
802,25,31,wed,tues,fri
803,26,34,wed,tues,fri
804,30,37,wed,tues,fri
805,34,40,wed,tues,fri
806,37,42,wed,tues,fri
807,39,43,wed,tues,fri
808,42,45,wed,tues,fri
809,44,46,wed,tues,fri
810,45,50,thur,tues,fri
811,47,52,thur,tues,fri
812,50,55,thur,tues,fri
813,53,57,thur,tues,fri
814,56,59,thur,tues,fri
815,58,63,thur,tues,fri
816,62,66,thur,tues,fri
817,63,69,thur,tues,fri
818,65,73,fri,tues,fri
819,66,77,fri,tues,fri
820,69,78,fri,tues,fri
821,70,80,fri,tues,fri
822,0,0,fri,fri,sun
823,3,2,fri,fri,sun
824,7,4,fri,fri,sun
825,11,6,fri,fri,sun
826,15,8,fri,fri,sun
827,19,9,fri,fri,sun
828,22,13,fri,fri,sun
829,24,17,fri,fri,sun
830,25,21,fri,fri,sun
831,27,25,sun,fri,sun
832,30,26,sun,fri,sun
833,31,28,sun,fri,sun
834,33,29,sun,fri,sun
835,37,32,sun,fri,sun
836,41,34,sun,fri,sun
837,45,35,sun,fri,sun
838,49,36,sun,fri,sun
839,51,37,sun,fri,sun
840,53,40,sun,fri,sun
841,55,44,sun,fri,sun
842,58,46,sun,fri,sun
843,59,49,sun,fri,sun
844,62,53,sun,fri,sun
845,66,55,sun,fri,sun
846,67,57,sun,fri,sun
847,71,61,sun,fri,sun
848,74,62,sun,fri,sun
849,77,64,sun,fri,sun
850,79,68,sun,fri,sun
851,83,72,sun,fri,sun
852,0,0,sun,sun,thur
853,3,1,sun,sun,thur
854,4,3,sun,sun,thur
855,7,7,mon,sun,thur
856,11,10,mon,sun,thur
857,15,12,mon,sun,thur
858,17,15,mon,sun,thur
859,18,19,tues,sun,thur
860,22,21,tues,sun,thur
861,25,23,tues,sun,thur
862,26,26,tues,sun,thur
863,29,30,tues,sun,thur
864,33,32,tues,sun,thur
865,36,33,wed,sun,thur
866,40,35,wed,sun,thur
867,44,38,wed,sun,thur
868,47,39,wed,sun,thur
869,51,41,wed,sun,thur
870,52,43,wed,sun,thur
871,53,44,wed,sun,thur
872,57,45,wed,sun,thur
873,60,46,wed,sun,thur
874,64,47,wed,sun,thur
875,66,51,wed,sun,thur
876,67,52,wed,sun,thur
877,68,55,thur,sun,thur
878,69,56,thur,sun,thur
879,70,57,thur,sun,thur
880,71,58,thur,sun,thur
881,73,59,thur,sun,thur
882,77,63,thur,sun,thur
883,78,67,thur,sun,thur
884,79,69,thur,sun,thur
885,81,72,thur,sun,thur
886,0,0,thur,thur,sun
887,4,3,fri,thur,sun
888,7,5,fri,thur,sun
889,11,6,fri,thur,sun
890,12,10,fri,thur,sun
891,14,12,fri,thur,sun
892,16,13,fri,thur,sun
893,19,15,fri,thur,sun
894,23,19,fri,thur,sun
895,25,21,fri,thur,sun
896,27,24,fri,thur,sun
897,30,27,fri,thur,sun
898,32,28,fri,thur,sun
899,34,31,fri,thur,sun
900,36,33,fri,thur,sun
901,38,36,fri,thur,sun
902,39,37,fri,thur,sun
903,40,40,fri,thur,sun
904,44,44,fri,thur,sun
905,48,47,fri,thur,sun
906,51,48,fri,thur,sun
907,53,51,fri,thur,sun
908,57,54,fri,thur,sun
909,60,55,fri,thur,sun
910,64,56,fri,thur,sun
911,66,59,fri,thur,sun
912,68,62,fri,thur,sun
913,70,66,fri,thur,sun
914,73,69,fri,thur,sun
915,75,73,fri,thur,sun
916,79,76,sun,thur,sun
917,82,77,sun,thur,sun
918,0,0,sun,sun,tues
919,1,2,sun,sun,tues
920,2,6,sun,sun,tues
921,5,10,sun,sun,tues
922,7,14,sun,sun,tues
923,11,18,sun,sun,tues
924,13,22,sun,sun,tues
925,14,25,sun,sun,tues
926,17,28,sun,sun,tues
927,20,31,sun,sun,tues
928,22,32,sun,sun,tues
929,23,36,sun,sun,tues
